TIME,Nt,Dilution
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,1,0
0,0,0
0,2,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,1,0
0,1,0
0,0,0
0,1,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
0,1,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,5,0
2,0,0
2,1,0
2,0,0
2,0,0
2,1,0
2,1,0
2,1,0
2,1,0
2,0,0
2,1,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,2,0
2,0,0
2,0,0
2,0,0
2,0,0
2,1,0
2,0,0
2,2,0
2,0,0
2,1,0
2,2,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,1,0
2,1,0
2,0,0
2,1,0
4,1,0
4,0,0
4,0,0
4,1,0
4,5,0
4,0,0
4,1,0
4,0,0
4,0,0
4,0,0
4,0,0
4,1,0
4,0,0
4,0,0
4,0,0
4,0,0
4,9,0
4,1,0
4,4,0
4,0,0
4,5,0
4,10,0
4,3,0
4,1,0
4,4,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,4,0
4,2,0
4,5,0
4,0,0
4,0,0
4,0,0
4,6,0
4,1,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
6,14,0
6,0,0
6,5,0
6,0,0
6,0,0
6,18,0
6,23,0
6,0,0
6,12,0
6,0,0
6,1,0
6,0,0
6,0,0
6,0,0
6,3,0
6,6,0
6,0,0
6,0,0
6,0,0
6,5,0
6,18,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,9,0
6,0,0
6,17,0
6,0,0
6,0,0
6,0,0
6,23,0
6,14,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,5,0
6,25,0
6,0,0
6,0,0
6,11,0
6,34,0
8,79,0
8,50,0
8,24,0
8,50,0
8,15,0
8,16,0
8,88,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,1,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,5,0
8,242,0
8,34,0
8,6,0
8,36,0
8,0,0
8,77,0
8,0,0
8,0,0
8,76,0
8,29,0
8,0,0
8,70,0
8,115,0
8,7,0
8,32,0
8,0,0
8,0,0
8,0,0
8,0,0
8,63,0
8,0,0
8,44,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,286,0
10,374,0
10,249,0
10,169,0
10,360,0
10,78,0
10,266,0
10,195,0
10,347,0
10,202,0
10,130,0
10,274,0
