TIME,N
2.333,3
2.333,5
2.333,4
2.333,2
2.333,2
2.333,3
2.333,4
2.333,1
2.333,3
2.333,3
2.333,4
2.333,2
2.333,5
2.333,2
2.333,3
2.333,2
2.333,0
2.333,1
2.333,2
2.333,3
2.333,3
2.333,3
2.333,2
2.333,0
2.333,3
2.333,4
2.333,3
2.333,2
2.333,1
2.333,2
2.333,7
2.333,3
2.333,4
2.333,2
2.333,1
2.333,3
2.333,5
2.333,2
2.333,3
2.333,3
2.333,1
2.333,2
2.333,1
2.333,2
2.333,2
2.333,4
2.333,0
2.333,2
2.333,2
2.333,2
2.333,2
2.333,3
2.333,4
2.333,1
2.333,2
2.333,1
2.333,1
2.333,2
2.333,4
2.333,3
2.667,1
2.667,2
2.667,1
2.667,1
2.667,1
2.667,1
2.667,2
2.667,4
2.667,1
2.667,2
2.667,1
2.667,2
2.667,1
2.667,1
2.667,0
2.667,1
2.667,2
2.667,3
2.667,3
2.667,1
2.667,2
2.667,1
2.667,1
2.667,1
2.667,3
2.667,2
2.667,1
2.667,1
2.667,0
2.667,2
2.667,4
2.667,2
2.667,0
2.667,1
2.667,2
2.667,2
2.667,2
2.667,1
2.667,1
2.667,2
2.667,2
2.667,2
2.667,2
2.667,1
2.667,2
2.667,0
2.667,1
2.667,0
2.667,1
2.667,1
2.667,1
2.667,1
2.667,0
2.667,2
2.667,0
2.667,0
2.667,3
2.667,4
2.667,0
2.667,2
3,0
3,0
3,0
3,0
3,1
3,0
3,1
3,0
3,0
3,0
3,1
3,1
3,1
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,1
3,1
3,0
3,0
3,1
3,0
3,3
3,1
3,0
3,0
3,3
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,2
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,1
3,0
3,0
3,1
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,1
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,1
3.333,0
3.333,1
3.333,1
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,1
3.333,0
3.333,1
3.333,1
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,1
3.333,0
3.333,0
3.333,0
3.333,1
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,1
3.667,0
3.667,0
3.667,0
3.667,0
4,0
4,0
4,0
4,0
4,0
4,0
4,1
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,1
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4.333,1
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
